#time,    op/s
 1.0,   15683
 2.0,   12850
 3.0,   20670
 4.0,   16741
 5.0,   16982
 6.0,   16030
 7.0,   16478
 8.0,   16869
 9.0,   20429
10.0,   12288
11.0,   22301
12.0,   14990
13.0,   18023
14.0,   22381
15.0,   10965
16.0,   20412
17.0,   16343
18.0,   23618
19.0,   15806
20.0,   16175
21.0,   18198
22.0,   12180
23.0,   23943
24.0,   13753
25.0,   21002
26.0,   16348
27.0,   18321
28.0,   21430
29.0,   13454
30.0,   19588
