#time,    op/s
 1.0,    2999
 2.0,    5943
 3.0,    9109
 4.0,    5259
 5.0,    6352
 6.0,    7995
 7.0,    5583
 8.0,    6774
 9.0,    7307
10.0,    7320
11.0,    6925
12.0,    7433
13.0,    8429
14.0,    6068
15.0,    6067
16.0,    5624
17.0,    5509
18.0,    4931
19.0,    5419
20.0,    5533
21.0,    6951
22.0,    5961
23.0,    5285
24.0,    6297
25.0,    5415
26.0,    4714
27.0,    5746
28.0,    4875
29.0,    7002
30.0,    6628
