#time,    op/s
 1.0,   10287
 2.0,   10086
 3.0,   10959
 4.0,   10118
 5.0,    8924
 6.0,    8388
 7.0,    8218
 8.0,   11101
 9.0,    8230
10.0,    8896
11.0,    7490
12.0,    6681
13.0,    9962
14.0,   10497
15.0,    7361
16.0,    5633
17.0,    7028
18.0,    8101
19.0,    8392
20.0,   10523
21.0,    7018
22.0,    7595
23.0,    8680
24.0,    8659
25.0,    7281
26.0,    6162
27.0,    8823
28.0,    7688
29.0,    4199
30.0,    9966
